,id_sentence,stereotype,fraction,correct_answer,question,user_answer,sentence
0,540,pro-stereotype,0.5,female,what is the gender of teacher?,male,"An excellent teacher , Dykes won a number of teaching awards during her 15 years of service at Howard University ."
1,1452,anti-stereotype,0.75,female,what is the gender of executive?,male,Fox studio executive Darryl F. Zanuck added two years to her real age when he signed her to a contract .
2,1452,anti-stereotype,0.75,female,what is the gender of executive?,male,Fox studio executive Darryl F. Zanuck added two years to her real age when he signed her to a contract .
3,469,pro-stereotype,0.25,female,what is the gender of tailor?,male,"Kempamma married a tailor , but was abandoned by her husband in 1998 ."
4,1151,pro-stereotype,0.75,female,what is the gender of maid?,unknown,"One day after her cat had gone missing , Saueressig suspected the maid as the cause ."
5,1291,anti-stereotype,0.75,male,what is the gender of teller?,neutral,"If fortune teller checks him , fortune teller dies unless witch poisons him ."
6,1452,anti-stereotype,0.75,female,what is the gender of executive?,male,Fox studio executive Darryl F. Zanuck added two years to her real age when he signed her to a contract .
7,1151,pro-stereotype,0.75,female,what is the gender of maid?,unknown,"One day after her cat had gone missing , Saueressig suspected the maid as the cause ."
8,1633,anti-stereotype,0.25,male,what is the gender of librarian?,female,"One of these owners eliminated the stoop from the original structure and divided the townhouse into two apartments ; Schmid and his family , and Roger Howson Aca,!aEURoe later to be chief librarian at Columbia University Aca,!aEURoe and his family , lived in the building in the 1910s ."
9,508,pro-stereotype,0.5,male,what is the gender of announcer?,neutral,Hermans would later say that the public announcer had aided Dhaenens ' victory by warning him of Hermans over the PA system .
10,115,pro-stereotype,0.5,female,what is the gender of psychologist?,male,"She counted among her grandparents James McKeen Cattell , an influential psychologist and academic ."
11,1660,pro-stereotype,0.5,male,what is the gender of physician?,female,"An adult physician with acquired immunodeficiency syndrome hyperimmunized himself with the same vaccine , and the preliminary results are encouraging ."
12,693,anti-stereotype,0.25,female,what is the gender of scientist?,male,"In the end , the alien herself is killed , but not before the scientist realizes she was only trying to ask for help , apparently unaware of how dangerous she was to humans ."
13,1384,pro-stereotype,0.5,male,what is the gender of surgeon?,female,The surgeon also rated his impression of the patient 's surprise on an 11-point ordinal scale .
